context,experiment,body_part_count,body_part_mode,body_part,model,macro_f1_mean,context_label,model_label,rank
light,only_shin_plus_light,1,single,shin,svm,0.7686526419457439,Baseline + light,SVM,98
gps,first_3_parts_plus_gps,3,progressive,first_3,xgboost,0.7681575323790534,Baseline + GPS,XGBoost,99
baseline,only_shin,1,single,shin,random_forest,0.7674855518212964,Baseline,Random Forest,100
all_context,first_3_parts_plus_all,3,progressive,first_3,xgboost,0.7674544373202322,Baseline + all context,XGBoost,101
mic,only_shin_plus_mic,1,single,shin,random_forest,0.7654432263245091,Baseline + microphone,Random Forest,102
gps,only_forearm_plus_gps,1,single,forearm,xgboost,0.7634391892431879,Baseline + GPS,XGBoost,103
gps,only_shin_plus_gps,1,single,shin,random_forest,0.7611725787178962,Baseline + GPS,Random Forest,104
mic,only_shin_plus_mic,1,single,shin,svm,0.7587082034944838,Baseline + microphone,SVM,105
gps,first_2_parts_plus_gps,2,progressive,first_2,xgboost,0.7586040328020445,Baseline + GPS,XGBoost,106
baseline,only_shin,1,single,shin,svm,0.7558751066736671,Baseline,SVM,107
mic,only_waist_plus_mic,1,single,waist,svm,0.7557384034643863,Baseline + microphone,SVM,108
light,only_forearm_plus_light,1,single,forearm,xgboost,0.7554607804617689,Baseline + light,XGBoost,109
all_context,only_shin_plus_all,1,single,shin,random_forest,0.752028312780219,Baseline + all context,Random Forest,110
all_context,first_2_parts_plus_all,2,progressive,first_2,xgboost,0.7517054517950107,Baseline + all context,XGBoost,111
mic,only_shin_plus_mic,1,single,shin,xgboost,0.750682975517687,Baseline + microphone,XGBoost,112
light,only_waist_plus_light,1,single,waist,svm,0.7450270283376539,Baseline + light,SVM,113
light,only_upperarm_plus_light,1,single,upperarm,random_forest,0.7435777367283557,Baseline + light,Random Forest,114
light,first_2_parts_plus_light,2,progressive,first_2,xgboost,0.7434942494249878,Baseline + light,XGBoost,115
light,only_shin_plus_light,1,single,shin,random_forest,0.74182192264538,Baseline + light,Random Forest,116
light,only_head_plus_light,1,single,head,random_forest,0.7407253668924035,Baseline + light,Random Forest,117
mic,only_upperarm_plus_mic,1,single,upperarm,random_forest,0.7389348751306178,Baseline + microphone,Random Forest,118
all_context,only_forearm_plus_all,1,single,forearm,xgboost,0.7377345872402273,Baseline + all context,XGBoost,119
light,only_upperarm_plus_light,1,single,upperarm,xgboost,0.7337307392737947,Baseline + light,XGBoost,120
baseline,only_waist,1,single,waist,svm,0.7318135756893824,Baseline,SVM,121
light,only_upperarm_plus_light,1,single,upperarm,svm,0.7314020878362801,Baseline + light,SVM,122
all_context,only_upperarm_plus_all,1,single,upperarm,random_forest,0.7309332100533577,Baseline + all context,Random Forest,123
baseline,only_shin,1,single,shin,xgboost,0.726526440434998,Baseline,XGBoost,124
all_context,only_shin_plus_all,1,single,shin,svm,0.7262713820689746,Baseline + all context,SVM,125
baseline,only_upperarm,1,single,upperarm,random_forest,0.7255111747163693,Baseline,Random Forest,126
all_context,only_upperarm_plus_all,1,single,upperarm,svm,0.7241650385131112,Baseline + all context,SVM,127
mic,only_waist_plus_mic,1,single,waist,random_forest,0.7199667176963574,Baseline + microphone,Random Forest,128
mic,only_waist_plus_mic,1,single,waist,xgboost,0.7187122534810958,Baseline + microphone,XGBoost,129
baseline,only_upperarm,1,single,upperarm,svm,0.7184422634225888,Baseline,SVM,130
gps,only_upperarm_plus_gps,1,single,upperarm,random_forest,0.7183166347810369,Baseline + GPS,Random Forest,131
mic,only_upperarm_plus_mic,1,single,upperarm,xgboost,0.7174431218006699,Baseline + microphone,XGBoost,132
mic,only_upperarm_plus_mic,1,single,upperarm,svm,0.7167406904442373,Baseline + microphone,SVM,133
gps,only_shin_plus_gps,1,single,shin,xgboost,0.715860684281481,Baseline + GPS,XGBoost,134
all_context,only_waist_plus_all,1,single,waist,random_forest,0.7154366392586379,Baseline + all context,Random Forest,135
mic,only_chest_plus_mic,1,single,chest,svm,0.7139788846279398,Baseline + microphone,SVM,136
all_context,only_thigh_plus_all,1,single,thigh,xgboost,0.712024321986673,Baseline + all context,XGBoost,137
gps,only_waist_plus_gps,1,single,waist,xgboost,0.7119729181146012,Baseline + GPS,XGBoost,138
baseline,only_chest,1,single,chest,svm,0.7115827429561761,Baseline,SVM,139
baseline,only_waist,1,single,waist,xgboost,0.7115023348144274,Baseline,XGBoost,140
all_context,only_waist_plus_all,1,single,waist,svm,0.7112906409822212,Baseline + all context,SVM,141
gps,only_thigh_plus_gps,1,single,thigh,random_forest,0.7104928684410702,Baseline + GPS,Random Forest,142
gps,only_waist_plus_gps,1,single,waist,svm,0.710492085801442,Baseline + GPS,SVM,143
gps,only_upperarm_plus_gps,1,single,upperarm,svm,0.7102580294844679,Baseline + GPS,SVM,144
all_context,only_waist_plus_all,1,single,waist,xgboost,0.7089905583960429,Baseline + all context,XGBoost,145
mic,only_chest_plus_mic,1,single,chest,xgboost,0.7069935734666203,Baseline + microphone,XGBoost,146
gps,only_chest_plus_gps,1,single,chest,random_forest,0.7069286458172024,Baseline + GPS,Random Forest,147
mic,only_chest_plus_mic,1,single,chest,random_forest,0.7066855336780363,Baseline + microphone,Random Forest,148
baseline,only_waist,1,single,waist,random_forest,0.7062719619362794,Baseline,Random Forest,149
gps,only_shin_plus_gps,1,single,shin,svm,0.7059673739729124,Baseline + GPS,SVM,150
