model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,context,experiment,body_part_count,body_part_mode,body_part
svm,0.7726219282780237,0.1443321822472578,0.7809981663865637,0.1619142997145052,0.774186126829805,0.1484375381212965,0.7318135756893824,0.1798460886181393,baseline,only_waist,1,single,waist
xgboost,0.7337510813513713,0.1564164253125115,0.7346031311094433,0.1855275752246986,0.7397918591661234,0.1519150973156418,0.695448412401587,0.1752740445024086,baseline,only_chest,1,single,chest
xgboost,0.826559371559275,0.1150725262284824,0.8366458085099672,0.1076480874377051,0.8303052178324715,0.112729299059684,0.8134461886659243,0.1226894882479836,baseline,only_forearm,1,single,forearm
xgboost,0.7015045855261764,0.1227175904340707,0.6835183115932625,0.1289702128441145,0.7051786497774052,0.127372240493558,0.6705746185510549,0.1309893651251142,baseline,only_head,1,single,head
xgboost,0.7519251571712551,0.1707449315202149,0.7520648659091607,0.1910922843649327,0.7534835305270945,0.1700451990352436,0.726526440434998,0.1900133565549972,baseline,only_shin,1,single,shin
xgboost,0.6905183264273369,0.1735890664267098,0.7189924873550816,0.1401655184193891,0.6980836810343899,0.1677727096712742,0.6430130298612211,0.202483459478746,baseline,only_thigh,1,single,thigh
xgboost,0.7306818029271666,0.1473318317961079,0.724054294547199,0.1859624378911551,0.7392938609652429,0.1453884402302653,0.6974311468409875,0.1742355161177442,baseline,only_upperarm,1,single,upperarm
xgboost,0.7539454134506405,0.0984787145606775,0.7467486137687295,0.1325911821939123,0.7574002341641619,0.0887404573158251,0.7115023348144274,0.11781079932562,baseline,only_waist,1,single,waist
random_forest,0.8209010605534501,0.1542512164015928,0.8347063631318632,0.192837379607744,0.825060398958702,0.1521661208957465,0.8043670189565185,0.1816040894831275,baseline,first_2_body_parts,2,progressive,first_2
svm,0.8167351520043741,0.1764776274254159,0.8261223815328599,0.1881518658731125,0.8189619389127947,0.1743352790458286,0.801082584726799,0.1903050964266851,baseline,first_2_body_parts,2,progressive,first_2
xgboost,0.8208949259818811,0.1377891356390278,0.8236451291484672,0.1499542861729452,0.8231934432188537,0.1363810270874115,0.7957925945968738,0.1603061585917891,baseline,first_2_body_parts,2,progressive,first_2
random_forest,0.8372149727988593,0.1598992794097574,0.850582529098705,0.1910776957349967,0.8438332304365066,0.1572128533265876,0.8249208062999955,0.1832232532430332,baseline,first_3_body_parts,3,progressive,first_3
svm,0.8227831946987915,0.1569569912522702,0.8434776020889588,0.1519128386954652,0.8283492476652039,0.1541986486105866,0.8060351108738667,0.1777399169381688,baseline,first_3_body_parts,3,progressive,first_3
xgboost,0.8106176460938268,0.1440496919106811,0.8167778288120893,0.1490423935991503,0.8150683523531536,0.1420232093369903,0.7800278488153799,0.1769150318484791,baseline,first_3_body_parts,3,progressive,first_3
random_forest,0.8314020720730421,0.1574146700042612,0.8552465323058537,0.1575233133481692,0.8372405107749388,0.1546740428866426,0.8172635183358671,0.1906242838404427,baseline,first_4_body_parts,4,progressive,first_4
svm,0.8469974530957602,0.1125048571637625,0.8622437994363431,0.1278741797760431,0.8526161981074007,0.1091923882493132,0.8348601557503902,0.1310362708919832,baseline,first_4_body_parts,4,progressive,first_4
xgboost,0.8127150607124657,0.1217741635259343,0.826468638386692,0.1390448435733346,0.8172370049416314,0.1197892580338754,0.7918929448066182,0.142419801994823,baseline,first_4_body_parts,4,progressive,first_4
random_forest,0.8342352837941092,0.1873002060438225,0.8494020950883352,0.1805683446688316,0.8397194048866716,0.185242024764092,0.8174957356084375,0.2226602404327703,baseline,first_5_body_parts,5,progressive,first_5
svm,0.9019071636133386,0.1156139839609863,0.9046045442112686,0.1343365990027417,0.9078417909903987,0.1123142789704507,0.8955108172042169,0.1345207867229495,baseline,first_5_body_parts,5,progressive,first_5
xgboost,0.8193718205501924,0.1369156553542087,0.8300128811257832,0.1480320633742259,0.8286028637478382,0.1320842270619604,0.8009975136343317,0.1589250212649766,baseline,first_5_body_parts,5,progressive,first_5
random_forest,0.8300293163420449,0.1722551732640717,0.8471790831062471,0.1683009541758482,0.838046357829885,0.1692302318812223,0.8142461987819197,0.2026942676778888,baseline,first_6_body_parts,6,progressive,first_6
svm,0.8980027567041857,0.1137397283890409,0.9018795340353384,0.1326376467756237,0.9046909284506816,0.110591649617667,0.8912428916908534,0.1318293643605827,baseline,first_6_body_parts,6,progressive,first_6
xgboost,0.8373719843536874,0.1318111925615297,0.8325755428739356,0.1490739979036041,0.8453671769798282,0.129161221787707,0.8218854630752156,0.147280530814192,baseline,first_6_body_parts,6,progressive,first_6
random_forest,0.8428705298523708,0.1367087929378857,0.845596088780473,0.1617325695045147,0.8484095077127872,0.1344352217466297,0.824431740983958,0.1627091935496461,baseline,standard,7,all_7,all_7
svm,0.8941980913348268,0.1182827989219595,0.9027689587640764,0.1233507359876267,0.8993848820338111,0.117266758368737,0.8854940259704552,0.142770136161028,baseline,standard,7,all_7,all_7
xgboost,0.8435102370935678,0.1406652597205141,0.8856445841097941,0.0984864489143993,0.8513193023488774,0.133325793602453,0.8305993176688333,0.1599730491828479,baseline,standard,7,all_7,all_7
random_forest,0.7436972068485205,0.1860019886745206,0.7526992984510062,0.1993257119923318,0.7477029326732101,0.1860763419545535,0.7069286458172024,0.2149446144045798,gps,only_chest_plus_gps,1,single,chest
random_forest,0.8179333433750239,0.1409272131906788,0.8391623073591022,0.1228383356713617,0.822246060926741,0.1376512227669104,0.7950226996297717,0.1683674200248729,gps,only_forearm_plus_gps,1,single,forearm
random_forest,0.705571401225478,0.1176748856307642,0.7095501548580462,0.1298232568973003,0.709521397923151,0.1187480607098562,0.6695681126578447,0.129910350508706,gps,only_head_plus_gps,1,single,head
random_forest,0.7815303148399012,0.1662681364236727,0.8033247946436393,0.1597581406497848,0.7836826689935,0.1649931056461112,0.7611725787178962,0.1876995683178332,gps,only_shin_plus_gps,1,single,shin
random_forest,0.7475435070130135,0.1853664792931551,0.7528703140789745,0.1921225639355436,0.7558357143243225,0.1795548256661148,0.7104928684410702,0.2139044046354762,gps,only_thigh_plus_gps,1,single,thigh
random_forest,0.7506194455142733,0.177167312146426,0.7489699972408904,0.2125554123158044,0.7574193290943693,0.1761672055391442,0.7183166347810369,0.2069039098517262,gps,only_upperarm_plus_gps,1,single,upperarm
random_forest,0.739792873354117,0.1319313475588889,0.7288686444567688,0.1823094800570004,0.7436828681933311,0.132018330866147,0.6940167804502415,0.1585188510173723,gps,only_waist_plus_gps,1,single,waist
svm,0.7055019350178321,0.2054684828997001,0.6988885378029033,0.1873292500930045,0.7077522561491342,0.2045859700140549,0.6721097115151536,0.2068120554226109,gps,only_chest_plus_gps,1,single,chest
svm,0.7890932151748652,0.1428009246840627,0.7885115178835904,0.1543165332249663,0.7917726869054033,0.1423552190316039,0.7711550425912449,0.1534048849939402,gps,only_forearm_plus_gps,1,single,forearm
svm,0.6638490581321771,0.1590633199785804,0.662353721920068,0.156979700624934,0.6672099617661288,0.1587400406393945,0.6380007753831769,0.1658784491892174,gps,only_head_plus_gps,1,single,head
svm,0.730294996117513,0.1735447744162121,0.7534725380983806,0.1751784139968325,0.735991926129,0.1689516126121833,0.7059673739729124,0.2000420527606203,gps,only_shin_plus_gps,1,single,shin
svm,0.7075167649158101,0.1379279741814628,0.7298643728799004,0.1393307262418228,0.713534029549029,0.1392892263305755,0.6692864954790452,0.1620242107064117,gps,only_thigh_plus_gps,1,single,thigh
svm,0.7410043842055902,0.1644655539616531,0.7355813019159607,0.2015540423466376,0.7468769656651573,0.1629615986422132,0.7102580294844679,0.1861256736164336,gps,only_upperarm_plus_gps,1,single,upperarm
svm,0.7544619090043767,0.159648130357927,0.7667343834496126,0.1766958830938249,0.7562299710131365,0.1635063265139706,0.710492085801442,0.1937388974325861,gps,only_waist_plus_gps,1,single,waist
xgboost,0.7247559349701717,0.2042596470096377,0.7183728964436231,0.2133844143721157,0.7266536755146588,0.2026834694210285,0.6856558194036924,0.2201421432844029,gps,only_chest_plus_gps,1,single,chest
xgboost,0.786686349174114,0.1539222672123007,0.7847573525212618,0.1691998287047055,0.7916866258167075,0.1444471011334134,0.7634391892431879,0.1745563673445143,gps,only_forearm_plus_gps,1,single,forearm
xgboost,0.7076472615565695,0.1226910275720287,0.6911544415477517,0.152474405346949,0.7105747400821991,0.1218328698555861,0.6559380658726119,0.1391215788406103,gps,only_head_plus_gps,1,single,head
xgboost,0.7451485520446468,0.1404102347698193,0.7478554066393123,0.1426301461032545,0.7520103147936206,0.131446074359026,0.715860684281481,0.1584676331533777,gps,only_shin_plus_gps,1,single,shin
xgboost,0.730206824637276,0.1884136145696128,0.7325288228804141,0.1995101705174267,0.7377648282569899,0.1823179538107167,0.686032448523471,0.2190069563740938,gps,only_thigh_plus_gps,1,single,thigh
xgboost,0.7190026773085036,0.1961979872141181,0.7360156094331552,0.2083069565319058,0.7280757283620403,0.1913815991062605,0.6913654299195998,0.2125262694396658,gps,only_upperarm_plus_gps,1,single,upperarm
xgboost,0.7452418962203509,0.1470110028210002,0.7655316693314728,0.1357348645484601,0.7520718379919715,0.1387968373751646,0.7119729181146012,0.1668386846149289,gps,only_waist_plus_gps,1,single,waist
random_forest,0.8079657640722857,0.1763916284436984,0.8184575607587311,0.204927042021189,0.8130628483806543,0.1747260792928331,0.783583509572039,0.2091702233769696,gps,first_2_parts_plus_gps,2,progressive,first_2
svm,0.810059313584921,0.1721559024069416,0.812738760002346,0.1861845956596644,0.8128203405732534,0.1706790515781636,0.7887951799545635,0.1864562868332203,gps,first_2_parts_plus_gps,2,progressive,first_2
xgboost,0.7867269754179875,0.1596579804207764,0.7900145065661128,0.1571532469945026,0.7925793055707709,0.1563448385463778,0.7586040328020445,0.180858561339664,gps,first_2_parts_plus_gps,2,progressive,first_2
random_forest,0.826714158515471,0.1675168997433503,0.8399141867549621,0.2004761484222458,0.8338135685643219,0.1654020998763799,0.8064268886058711,0.2010903094234861,gps,first_3_parts_plus_gps,3,progressive,first_3
svm,0.8204454794482298,0.1586981462373936,0.8346130380636545,0.1521335755563669,0.8254946746969342,0.156076626476933,0.8019435801893201,0.1767044140502442,gps,first_3_parts_plus_gps,3,progressive,first_3
xgboost,0.7997998070897577,0.1557843524269576,0.8086637105634991,0.1525654405115413,0.8061746957566371,0.1522312624352508,0.7681575323790534,0.1819171775091053,gps,first_3_parts_plus_gps,3,progressive,first_3
random_forest,0.8233406347747637,0.1504740781735977,0.8637693813149965,0.1057545433558072,0.8320807520621576,0.1482958752198874,0.8028155110047609,0.1845849545722824,gps,first_4_parts_plus_gps,4,progressive,first_4
svm,0.8465935433210596,0.1238703056716646,0.8548249239072775,0.1363742641639349,0.8519171972342006,0.121535412467962,0.8325009434107523,0.139808024900644,gps,first_4_parts_plus_gps,4,progressive,first_4
xgboost,0.8041463342882346,0.1221384764381069,0.8268537204825905,0.1135085859262454,0.8114483357501325,0.1195779330037229,0.7761321857758495,0.1469947121733766,gps,first_4_parts_plus_gps,4,progressive,first_4
random_forest,0.8375775674501548,0.1692319168744641,0.8578262375745619,0.1700923293615531,0.8444136784407958,0.1682914659006545,0.8203394579107186,0.2014194891531879,gps,first_5_parts_plus_gps,5,progressive,first_5
svm,0.8964388501093935,0.1208513034301141,0.9020613288687528,0.1357893328257702,0.9021150041169314,0.1183419487648523,0.8893702156925489,0.1371574769697389,gps,first_5_parts_plus_gps,5,progressive,first_5
xgboost,0.8358739326554624,0.1504007302121127,0.8764610677054516,0.1056325539925855,0.8438409412261675,0.1489738133924046,0.8156093612838495,0.1696269761067173,gps,first_5_parts_plus_gps,5,progressive,first_5
random_forest,0.8530326879103656,0.1373658294024116,0.8794278222769406,0.1172721189752319,0.8627641051266415,0.1364020661532147,0.8382511011927093,0.1638089710055039,gps,first_6_parts_plus_gps,6,progressive,first_6
svm,0.8967229503442765,0.1183200092084567,0.9042650656439918,0.1341491164831893,0.9031424109450168,0.1154992750985671,0.8884673792822999,0.1368257683638326,gps,first_6_parts_plus_gps,6,progressive,first_6
xgboost,0.8519925331176494,0.1574025902549007,0.8830406976329451,0.1073702755615434,0.8603503864226223,0.1550319814836768,0.8380037114446223,0.1696142481696459,gps,first_6_parts_plus_gps,6,progressive,first_6
random_forest,0.8358196119466895,0.1748901138867416,0.8525703867508875,0.1774616119105969,0.8414930948300412,0.1728697742738602,0.816729903475086,0.2018851551521203,gps,standard,7,all_7,all_7
svm,0.8933027865203641,0.1213769623384687,0.907770850812743,0.1121768212897247,0.8983758794482649,0.1202410297528657,0.8842476211591407,0.1461586702560033,gps,standard,7,all_7,all_7
xgboost,0.858473555020555,0.1528338440055094,0.8901319649621783,0.1139876967932161,0.864625046294743,0.1502881573486739,0.8449374702818563,0.1680539737554625,gps,standard,7,all_7,all_7
random_forest,0.7401142581892481,0.1602480987612226,0.7425824930311864,0.1745797907601683,0.7447455273694508,0.1609712299530859,0.700792515560877,0.1823019361554977,light,only_chest_plus_light,1,single,chest
random_forest,0.8076340978358275,0.1322421377499217,0.8251422471290895,0.1366497432088209,0.8111165269742688,0.1311303512920141,0.7975716067491037,0.1422800874296124,light,only_forearm_plus_light,1,single,forearm
random_forest,0.7614211662510512,0.1445327565135407,0.7757709282437664,0.1473009682414716,0.7660302068117162,0.146046781642301,0.7407253668924035,0.1598355143080344,light,only_head_plus_light,1,single,head
random_forest,0.7596790870004662,0.1761903612900123,0.7635187926201781,0.1877390569637782,0.7615272567856493,0.1748842709715246,0.74182192264538,0.1974085020426844,light,only_shin_plus_light,1,single,shin
random_forest,0.7018685475890721,0.2168820795162185,0.7170045212590885,0.2291385592206214,0.7129395045977585,0.2021470452107035,0.6609155764824111,0.2483294234559503,light,only_thigh_plus_light,1,single,thigh
random_forest,0.7758443998137345,0.1464225675335346,0.7613795103505636,0.191776516884053,0.7820534543951594,0.1480279300076801,0.7435777367283557,0.1803852542385265,light,only_upperarm_plus_light,1,single,upperarm
random_forest,0.7415768650988236,0.1144071890222482,0.7401886051254584,0.1245056251036063,0.7450090977282805,0.1111209444812509,0.7000023734686665,0.1345255575449864,light,only_waist_plus_light,1,single,waist
svm,0.7190826788110383,0.1823008243313031,0.7134750301935999,0.1954942192514313,0.7218666928383407,0.1812689450556596,0.6897150052650746,0.1875002750835733,light,only_chest_plus_light,1,single,chest
svm,0.833908309155553,0.1193521149997202,0.8466629551833661,0.1162106288106019,0.8376509724171626,0.1154517128581909,0.8234855752093022,0.1276554754999843,light,only_forearm_plus_light,1,single,forearm
svm,0.6661198889112803,0.1428385697140056,0.6565673668690846,0.1495223000467105,0.6702262256790056,0.1427292601065514,0.640165393871279,0.1464035322914451,light,only_head_plus_light,1,single,head
svm,0.7843444886846864,0.166658780910357,0.8124468685385666,0.1463299672248805,0.7872210087635432,0.1644545257377139,0.7686526419457439,0.1899712231652617,light,only_shin_plus_light,1,single,shin
